"";"river_system";"habitat";"variable";"n";"min";"max";"median";"iqr";"mean";"sd";"se";"ci"
"1";"Amazonas";"Floodplain lake";"temp";8965;28,7;34,4;30,2;0,3;30,278;0,821;0,009;0,017
"2";"Amazonas";"River margin";"temp";911;27,89;31,2;30;0,1;29,94;0,7;0,023;0,046
"3";"Arapiuns";"Floodplain lake";"temp";2519;29,3;31,4;30,3;0,9;30,344;0,679;0,014;0,027
"4";"Arapiuns";"River margin";"temp";4098;25;32,5;30,8;2,6;30,698;2,097;0,033;0,064
"5";"Tapajos";"Floodplain lake";"temp";4166;29,3;31,7;30,4;0,4;30,351;0,402;0,006;0,012
"6";"Tapajos";"River margin";"temp";1739;29,1;31;30;0,9;29,956;0,59;0,014;0,028
